1, 1, 0.344155
1, 2, 0.737655
1, 3, 0.449312
1, 4, -0.239863
1, 5, 0.094032
1, 6, -0.396031
1, 7, 1.587555
1, 8, -0.355547
1, 9, -0.650503
1, 10, -0.210843
2, 1, 1.714152
2, 2, -1.126420
2, 3, 0.165313
2, 4, -0.284385
2, 5, 0.289684
2, 6, 0.266794
2, 7, -0.217578
2, 8, -2.002037
2, 9, 1.677005
2, 10, -0.763292
3, 1, -1.341589
3, 2, -0.253677
3, 3, 0.090458
3, 4, 0.022172
3, 5, 1.068463
3, 6, 0.504508
3, 7, -1.616581
3, 8, 0.308294
3, 9, -0.195397
3, 10, 0.070649
4, 1, -1.130156
4, 2, -0.065298
4, 3, 0.230433
4, 4, 3.197439
4, 5, -0.683680
4, 6, 1.853536
4, 7, 0.276111
4, 8, 0.995122
4, 9, -0.508587
4, 10, -2.582798
5, 1, -0.300934
5, 2, 1.021415
5, 3, 0.172790
5, 4, 0.613248
5, 5, -2.113918
5, 6, -0.098782
5, 7, 0.715475
5, 8, 0.115988
5, 9, -2.089026
5, 10, 1.837022
6, 1, -0.509935
6, 2, -0.499537
6, 3, -0.056504
6, 4, 1.236401
6, 5, 0.387264
6, 6, -0.462839
6, 7, -0.535976
6, 8, -0.307039
6, 9, -0.056682
6, 10, 1.439298
7, 1, -0.019065
7, 2, 0.321075
7, 3, -1.414334
7, 4, 1.318299
7, 5, 0.349333
7, 6, -0.393011
7, 7, -1.040472
7, 8, 0.298794
7, 9, 1.079086
7, 10, 1.300109
8, 1, -0.247804
8, 2, 0.081419
8, 3, 0.762513
8, 4, -0.719968
8, 5, -0.526651
8, 6, 0.748426
8, 7, -0.810611
8, 8, -0.237779
8, 9, 0.752218
8, 10, 0.071199
9, 1, -0.757077
9, 2, -2.229294
9, 3, -0.000541
9, 4, -1.679817
9, 5, 1.208831
9, 6, -1.891096
9, 7, 1.852856
9, 8, -0.134593
9, 9, -0.313270
9, 10, -0.793029
10, 1, 1.987564
10, 2, 1.842237
10, 3, 0.421235
10, 4, -1.142228
10, 5, -0.830909
10, 6, 1.065292
10, 7, -1.760542
10, 8, -0.209743
10, 9, 0.310231
10, 10, 0.279748
